,Problem,Answer,Grade
33,The bakery currently mixes and bakes 354 cheesecakes.Another 780 cheesecakes are ready.How many cheesecakes are there?,354+780=1134, 4
34,    There were 700 bags of flour in the bakery.Then an employee made baguettes from 495 sacks of flour.How much flour is left? ,700-495=205, 4
35,"After the vacation, the office manager has to read 890 emails.She has read 617 of them so far.How many emails are left for the office manager to read?",890-617=273, 4
36,"Last Sunday, a rock concert and a jazz concert were held at the music school at the same time.469 people attended the two concerts in total.If there were 173 people at the alternative rock concert, about how many people were at the jazz concert?",469-173=296, 4
37,In the morning there were 351 frogs on the lake.There were 679 frogs on the lake at night.How many frogs were added to the lake per night?,679-351=328, 4
38,Jim bought 42 boxes of pens. There were 64 pens in each box.How many pens did Jim buy?,42×64=2688, 4
39,The jewelry company has ordered 40 boxes of pearl beads. Each box contained 26 beads.How many pearl beads did the jewelry company order?,40×26=1040, 4
40,David organized a 78-mile bike race.All 52 riders completed the race.How many miles did they bike in all?,78×52=4056, 4
41,The hospital has ordered 56 boxes of bandages.Each box contained 38 bandages.How many bandages did the hospital order?,56×38=2128, 4
42,A parking garage has 14 levels.Each level has 62 parking spaces.How many parking spaces are there?,14×62=868, 4
43,The airline has 67 aircraft.Each plane has 42 seats.How many seats are there on the planes in total?,67×42=2814, 4
44,Grandpa is sick. He has 36 tablets and must take 2 tablets at a time 4 times a day.How many pills are left in three days?,12 tablets., 4
45,Jack and his three friends helped to decorate the house for the party.Each of them blows 16 balloons. But 8 balloons pop.How many balloons do they have for decoration?,56 balloons., 4
46,"It was the Black Friday at the department store.Every purchase that is $2,000 or more gets an instant discount of $200.Nick wants to buy a TV that costs $1,840 and a printer that costs $259.How much does he need to pay?","(1,840+259)-200=1899", 4
47,"There are 4 dentists working in a dental clinic.On Monday, 24 patients made appointments with each dentist.However, 6 of the patients did not show up.How many patients visited the dental clinic on Monday?",(24×4)-6=90, 4
48,Crispin had 4 boxes of 16 marbles. He lost 56 marbles.How many marbles does he have now?,(4×16)-56=8, 4
49,Patrice has 8 straws for juice. Each straw is 6 centimeters long.What is the total length of all the straws?,6×8 = 48, 3
50,Sara paid $28 for 4 pairs of trousers.Each pair of trousers costs the same amount.What is the cost of 2 pairs of trousers?,28 / 4×2 = 14, 3
51,Jimmy has 36 toy cars. He divides them equally among 4 boxes.How many toy cars are there in each box?,9 toy cars., 3
52,"Matthew earns $7 per week for doing all his chores.On the fifth week, he forgets to clean the room, so he only earns $5.Write and solve an equation to show how much Matthew earns in 5 weeks.",4×7 + 1×5 = 33$, 3
53,Thirty-two plates are equally packed in 8 boxes.Two boxes of plates burst.How many dishes are not broken?,32 / 8 = 46×4 = 24 dishes are not broken., 3
54,There are 25 blue blocks and 15 red blocks on the table.Five children are given an equal number of each color block.How many blue and red blocks does each child get?,25 / 5 = 5 blue blocks;15 / 5 = 3 red blocks., 3
55,There are 63 yellow balls and 14 red balls more in the box.How many balls are there in the box?,63+14=7763+77=140, 3
56,Each guest in the hotel gets 3 towels.There is a total of 21 towels.How many guests are there in the hotel now?,21 / 3 = 7, 3
57,"   Last summer, Diana’s family found 152 shells at the beach.   This summer they were at the beach for 7 days.   Each day they found 9 shells.   How many fewer shells did they find this year than last year?",7×9 = 98152 – 98 = 54, 3
58,The bank officer arranges 32 documents into 4 equal rows.How many documents are in each row?,32 / 4 = 8, 3
59,"Sophia is baking pies. He has three trays that are the same size.On one tray, he makes 6 rows with 4 pies in each row.He cannot fit any more pies on the tray.He two trays completely and only half of the third tray.How many cookies could Fin have made?",6×4 = 2424 / 2 = 1224 + 24 + 6 = 54, 3
60,The toy-maker packs 36 toys in boxes of 4.How many boxes he need to pack all the toys?,36 / 4 = 9, 3
61,Mss. Rose has 92 pens for each group of 4 students.How many pens will each student receive?,23 pens., 3
62,"Daniel plans to make a fruit salad for his sister.If he bought 9 apples, 6 bananas,5 peaches and 32 pears as ingredients,how many fruits did he buy in total?",9 + 6 + 5 + 32 = 52 fruits., 3
63,"Oliver had 6 cars and twice as many trucks as cars,and 3 fewer excavators than trucks.How many of each transport did Oliver have?",6×2 = 1212 - 3 = 96 + 12 + 9 = 27, 3
64,Natalie finishes guitar practice at 2:45 p.m. after practicing for 37 minutes.What time did Natalie’s practice start?,at 2.08 p.m., 3
65,My sister works on her scrapbook from 13:27 to 13:58.How many minutes does she work on her scrapbook?,31 minutes., 3
66,Camila cleans her room for 55 minutes. She starts at 10:12 a.m.What time does Camila finish cleaning her room? ,11:07 a.m., 3
67,Adam bought 8 apples and 4 pears from the greengrocers. Each weighed 200g.How much did they weigh altogether?,8 + 4 = 1212×200 = 2400g = 2kg400g., 3
68,"The goose weighs 9 kg, while the chicken weighs 7 kg less.How much do goose and chicken weigh together?",9 - 7 = 29 + 2 = 11kg., 3
69,"A box of apples weighs 21 kg, and a box of bananas is 6 kg more.How much does the fruit weigh?",21 + 6 = 2721 + 27 = 48, 3
70,   The zoo has 32 Asian elephants and 29 African elephants.   How many elephants are there in all?,32+29=61, 2
71,   46 sparrows were sitting in a tree. 24 more sparrows flew up to the tree.   How many sparrows were there altogether in the tree?,46+24=70, 2
72,John has 15 books. Luc has 29 books. How many books do they have together?,15+29=44, 2
73,"In the monkey house, there are 19 chimpanzee and 26 marmosets.How many monkeys are there in all?",19+26=45, 2
74,"A chair costs $72, an armchair costs $119,and a sofa costs as much as a chair and an armchair together.How much does a sofa cost?",72+119=191, 2
75,"16 children were riding on the bus.At the bus stop, some more children got on the bus.Then there were 24 children altogether on the bus.How many children got on the bus at the bus stop?",24-16=8, 2
76,Today is dad's birthday. He is 38 years old. How old was dad 15 years ago?,38-15=23, 2
77,A fruit seller had 83 apples. He sold 57 apples s.How many apples did he have left?,83-57=26, 2
78,14 parrots were sitting on a tree. Some more fly up to the tree.Then there were 56 parrots in the tree. How many more flew up to the tree? ,56-14=42, 2
79,Mom had 32 peaches at her fruit basket.She went to the orchard and picked peaches to stock up.There are now 89 peaches. How many did she pick?,89–32=57, 2
80,"Tom's toy box contains 24 cars, 17 trucks and 9 motorcycles.How many more trucks and cars are there combined than motorbikes?",24+17-9=32, 2
81,Mom ordered 14 cheese and 18 peperoni pizzas for the birthday party.The guests ate 26 pizzas. How many pizzas are left?,14+18-26=6, 2
82,"On Friday, 37 patients made appointments with Dr. Grace and 9 patients did not show up. Also, 3 patients came in with no appointments.How many patients did Dr. Grace have on Friday?",37-9+3=31, 2
83,Box of apples weighs 37 kg.Box of bananas weighs 25 kg.Box of salat weighs 13 kg.How much heavier is fruits than salat?,37+25-13=49, 2
84,Martin has 26 cards in a bag and 55 cards in a box.William takes 14 cards out of the box.How many cards does Martin have left?,26+55-14=67, 2
85,125 toffees were distributed equally among 25 boys. How many toffees did each boy get?,5 toffees, 3
86,675 grams of sweets were distributed among 9 children. How much sweet was given to each child?,75 grams, 3
87,"One steel-plate weighs 30 gram. If the weight of some plates is 450 grams, find the number of plates.",15 plates, 3
88,The salary of a man of six months is $9450. Find his monthly salary.,$1575, 3
89,"If 17 tables cost $8245, what is the cost of one table?",$485, 3
90,4 students can sit on a bench. How many benches are required for 4312 students?,1078 benches, 3
91,A fruit-seller bought 6584 apples. He threw 8 rotten apples away and packed the remaining apples in 16 baskets. Find the number of apples in each basket.,411 apples., 3
92,The product of two numbers is 1728. If one of the numbers is 48 then find the other number.,36, 3
93,"If a number when multiplied by 9 gave the product 3384, find the number.",376, 3
94,There are 15 rows of equal number of soldiers. If all the soldiers are 375 in number. find how many soldiers are there in each row.,25 soldiers, 3
95,"If 12 pairs of shoes cost $3888, what is the cost of each pair of shoes?",$324, 3
96,"In a question on division the divisor is 48, quotient is 7 and remainder is 32. Find the dividend.",368, 3
97,"If dividend is 4893 and divisor is 14, find the quotient and remainder.",Quotient = 349 and remainder = 7, 3
98,The distance between 8 pillars is 672 meters. Find the distance between two pillars.,96 meters, 3
99,6 children share 12 chocolates. How many does each child get?,2, 3
100,Ron distributes 12 bananas equally among 4 monkeys. How many bananas does each monkey get?,3, 3
101,There are 18 apples. Jon arranges them in 3 plates. How many apples are there in each plate?,6, 3
102,Tom puts. 30 eggs equally in 6 boxes. How many eggs are there in each box?,5, 3
103,Jenny has 30 stickers. She wants to distribute these equally among 10 children. How many stickers does each child get?,3, 3
104,"There are 1025 students in a school containing 25 sections. If in each section there are equal number of students, find their number in each section.",41, 3
105,"The cost of 15 cycles is $24,405. Find the cost of each cycle.",1627, 3
106,"The cost of 35 ceiling fans is $43,050. How much does each fan cost?",1230, 3
107,"A school has collected $14,000 from 56 students for the Prime Minister's relief fund. How much has each student paid?",250, 3
108,"25 students of class X collected $2750 for an orphanage. If each student contributed an equal amount for the cause, how much amount of money was contributed by each student?",$110, 3
109,"A train runs 5,580 km in 36 hours. Find the speed of the train in km/hour.",155, 3
110,"A truck was carrying 340 chairs, staked in sets of 5 chairs each. How many stacks of chairs were there on the truck?",68, 3
111,"The product of two numbers is 4131. If one of them is 27, find the other.",153, 3
112,"840 students were to be seated in 20 rows of an auditorium. If equal number of students sat in each row, how many students were there in each row?",42, 3
113,"If the quotient is 57, the divisor is 45 and the remainder is 29, find the dividend.",2594, 3
114,Tania has a collection of 550 marbles. She wants to put them in Jars. She can put 22 marbles in one jar. How many jars does she need to put all the marbles?,25, 3
115,"The annual income of Sam is $98,364. What is his monthly income if he earns an equal amount every month?",8197, 3
116,A number was divided by 97; the quotient was 286 and the remainder 14. Find the number.,27756, 3
117,"On one shelf of the library 21 books can be kept, how many shelves are needed to put 2730 books?",130, 3
118,"When 65 is multiplied by a number, the product is 5590. Find the number.",86, 3
119,Shelly cut 3825 metres of cloth into 15 equal pieces. What is the length of each piece?,255, 3
120,"40,000 fruits were distributed among 1,000 children equally. How many fruits did each child get?",40, 3
121,Kara bought 32 tickets for a movie for $ 7200. What is the cost of each ticket?,$ 225, 3
122,"44,619 sweets were distributed among 1,000 students of a school. How many sweets will each student get if every student gets an equal number of sweets? How many sweets will be left?",44; 619, 3
123,"The price of 50 bags of wheat is $42,500. Find the price of each bag of wheat.",850, 3
124,2250 mobile sets are to be packed equally in 50 cartons. How many mobiles will be kept in each carton?,45, 3
125,"The price of 21 sets of television is $95,865. How much does each T.V. set cost?",$ 4565, 3
126,168 trees are planted equally in 12 rows. How many trees are there in each row? How many are left to be planted?,"Q = 14, R = 0", 3
127,"Divide the sum of 7,000 and 2,839 by 23.",Q = 427; R = 18, 3
128,"A car company manufactured 1674 cars in 31 days of January. If the company manufactured equal number of cars each day, then how many cars were made each day?",54, 3
129,There are 45 houses in a street. 21 houses have been painted white. How many houses have not been painted?,24 houses, 3
130,A basket hold 55 oranges. The shopkeeper has 65 oranges. How many oranges can not be put in the basket?,10 oranges, 3
131,"Out of 8797 children of town, 6989 go to school. How many children do not go to school?",1808 children, 3
132,Ron has 1846 marbles in his collection; he gave 547 marbles to his sister. How many marbles are left with him then?,1299, 3
133,I had $5000 with me. Out of it $3585 was spent. Now how much money do I have?,$1415, 3
134,Shelly bought a bed sheet for $1699. She gave the shopkeeper $2000. What amount will be returned by the shopkeeper?,$301, 3
135,There were 473 students in class V of a school. Out of them 461 passed and were promoted to the next class. How many students did not get promoted?,12 students, 3
136,Shelly went to buy 568 cookies. She got only 233 cookiesin the bakery. How many more cookies she has to buy?,335, 3
137,Mike has to learn 353 words meaning. He finished learning120 words. How many more words he has to learn?,233, 3
138,There were 746 books in the library. Out of which 242books are lost. How many books are left in the library?,504, 3
139,Adriana has 346 apples in the garden. She gave a fewapples to her friend. 135 apples were left with her. How many apples did shegive to her friend?,211, 3
140,Jane took 356 minutes to complete homework in English andMathematics. She took 204 minutes to complete English. How much time she tookto complete Mathematics?,102 minutes, 3
141,"There are 4500 books in a library. They are either written in English or French. If 2894 books are in English Language, then how many books are in French language?",1606, 3
142,Mike had $4876 in his savings bank account. He withdrew $1873. How much money does he have now in his savings bank account?,$3003, 3
143,Tom has $7800 in his bank. He withdrew $2340 on Monday and $2670 on Tuesday. What amount is still left in his bank account?,$2790, 3
144,By how much is 3756 less than 5433?,1677, 3
145,"During a Vaccination program in the village, out of 13567 children 13026 were vaccinated. How many children are still to be vaccinated?",541, 3
146,By how much is 4897 less than 6123?,1226, 3
147,Derek needs to cover a distance of 1456 km to reach hishome town and if he covers 1152 km by train and rest by bus. How much distancedoes he cover by bus?,304 km, 3
148,By how much is 698 less than 553?,145, 3
149,"Nathalie has to write an essay of 6500 words in 3 hours.If she is able to write 4895 words in 2 hours, how many words does she needs towrite more in 1 hour to complete her essay?",1605, 3
150,By how much is 3162 less than 2526?,636, 3
151,"948 children participated in the fest, out of which 573were boys. How many girls participated in the fest?",375, 3
152,790 students appeared for the Olympiad examination. 248students took Math Olympiad exam and rest took science Olympiad exam. How manystudents took Science Olympiad?,542, 3
153,Sandy scored 785 points in a game on Saturday. He lost213 points on Sunday. How many points were left with him?,572, 3
154,Brad could solve 483 questions out of 500. How manyquestions were left unsolved?,17, 3
155,Rosy made 452 dark chocolates and 183 vanillachocolates. Which flavor is less and how many more chocolates are required tomake both chocolates equal?,Vanilla; 269, 3
156,"There are 1348 girls in a school. If the total number ofstudents in the school is 2900, then what is the number of boys in the school?",1552 boys, 3
157,Sara earns $6955 monthly as her salary. She saves $1565monthly. What is her monthly expenditure?,$5390, 3
158,"Jerry wants to complete reading 1762 pages of a book in 5days. If she is able to read 1143 pages in 3 days, then how many pages arestill left to be read?",619, 3
159,The cost of a television is $ 7069 and that of a cycleis $2359. By how much does the television cost more than the cycle?,$4710, 3
160,"Vanilla wants to buy a trouser for $975 and a shirt for$1699. If she has $2000, will she be able to buy both the shirt and trouser? Ifnot, how much more amount does she need?",$674 more needed, 3
161,A cement merchant had 8436 bags of cement in his godown.He sold 3565 bags of cement. Now how many bags are left in the godown?,4871 bags, 3
162,By how much is smallest 5-digit number greater thanlargest 4-digit number.,1, 3
163,A grain merchant had 9736 kilograms of wheat in hisstock. He sold 6859 kilograms of wheat. How much wheat has he in his stock now?,2877 kg, 3
164,My father wants to buy a washing machine that costs$8580. But he has only $7560. How much more money does he need?,$1020, 3
165,"Sam made a journey of 8473 km. Out of this, he covered4253 km by train and the rest by car. How many km did he cover by car?",4220 km., 3
166,"The difference between two numbers is 1307. If thelarger number is 9577, find the smaller one.",8270, 3
167,"In an examination, 75,236 students passed and 14,892 students failed. Find how many students appeared for the examination. ",90128, 4
168,"There are 3,786 men, 3,672 women and 1,508 children in a village. Find the total population of the village. ",8966, 4
169,"There are 5,873 male and 6,389 female primary teachers in a city. Find the total number of teachers in the city.",12262, 4
170,"In a school there are the following numbers of students:127 in grade one, 120 in grade two, 110 in grade three, 100 in grade four and 93 in grade five. Find the total number of students in the school.",550, 4
171,"A man plucked 435 mangoes from one tree, 450 mangoes from the second tree and 295 mangoes from the third tree. Find the total number of mangoes plucked from the trees.",1180, 4
172,"A school library has 3,730 books in French, 2,531 books in English, and 5,368 books in other languages. How many books are there in library?",11629, 4
173,"There are 37,536 bags of wheat, 35,380 bags of rice and 25,240 bags of gram in a store. Find the total number of bags in the store.",98156, 4
174,"A school management spent $ 26,756 on teachers pay, $ 325,378 on building construction, $ 5,780 on games and $ 8,235 on other work. Find the total amount spent on different items by the school management.",$ 366149, 4
175,"A man plucked 375 apples from one tree, 504 apples from the second tree and 229 apples from the third tree. Find the total number of apples plucked from the trees.",1108, 4
176,"A toy factory manufactured 52,253 toys in January, 50,375 toys in February and 608,368 toys in March. How many toys were manufactured in the above mentioned months in total?",710996, 4
177,Mr. Jones goes to the shop to buy furniture for hishouse. He buys a double bed for $57930 and a sofa for $39860. What is the totalamount spent by Mr. Jones at the shop.,$97790, 4
178,"According to a census, there were 45779 females in atown.  The number of males is 2336 more.What is the total population of the town?",93894, 4
179,"7883 people visited the zoo on Friday, 6596 on Saturdayand 8224 on Sunday. How many people visited the zoo on these 3 days?",22703, 4
180,"Ron is studying aboard. During his holidays, he travelsto his home town. To reach his home town he covered 4562 km by air and 1057 kmby bus. What is the total distance travelled by him to reach the home town?",5619 km , 4
181,Ron deposited $13645 in bank on Tuesday and $6880 onWednesday. What is the amount of money deposited by him in bank in these 2days?,$20525, 4
182,Shelly went to buy furniture for her room and had $15000.She selects two different tables at the shop – (i) a square table costing $9640 (ii) a round table costing $7890. She has already bought a chair for $5999. Which table wouldshe be able to buy?,Round table, 4
183,"Rachel has a rope of length 40 m. She gave 12 m 53 cm toSam, 18 m 35 cm to Ron and 9 m 7 cm to Jack. What length of rope is still leftwith Rachel?",0.05 m, 5
184,John has a jar filled with juice. After he poured 350 mlof juice in each 8 glasses he was still left with 200 ml juice in the jar. Whatwas the capacity of jar in liters?,3 liters, 5
185,A worker transferred 50 bags of rice weighing 38 kg 500 g each into a truck. The weight of empty truck is 1480 kg. What will be the weight of the truck with the bags?,3405 kg, 5
186,"Jane has 63 m of ribbon. If she cuts 56 m 21 cm ribbonfrom it, what length of ribbon will be left?",6.79 m , 5
187,"Victor wants to make a book tower of height 48 cm. If thethickness of each book is 12 mm, how many books will he need to make thedesired height?",40 books , 5
188,"Adrian has to take 2 spoons of multivitamin syrup eachday. If the capacity of the spoon is 15 ml, what quantity of syrup will betaken by him in a week?",210 ml, 5
189,"Neil has a bag of pulses which weighs 25 kg. Whileputting them in the shelf, he tore the bag and hence 1850 g of pulses fell onthe floor. What quantity of pulses is still there in the bag?",23.15 kg, 5
190,"A box of frozen vegetables weighing 144 kg 780 g wasdelivered at a grocery shop. If there were 15 packets of equal weight insidethe box, what was the weight of each bag?",9.652 kg, 5
191,Menasha travelled 86 km520 m by train and 11 km 480 m by car. What distance did she travel in all?,98 km, 5
192,"In a grocery shop, therewas 2510 kg 350 g of wheat in the morning. During the day, 890 kg 600 g ofwheat was sold out. How much of wheat was left in the shop in the evening?  ",1619.75 kg, 5
193,"A tin contains 10 l 150 ml, a second tin contains 5 l 750ml and a third tin contains 3 l 875 ml of ground nut oil. What is the totalquantity of oil?",19.775 l, 5
194,A person purchases 3 m 30 cm of cloth and stitches ashirt using 2 m 48 cm of it. How much cloth is left?,0.82 m, 5
195,Maria buys 2 l 500 ml of milk daily. Find the totalquantity of milk bought by Maria in a week.,17.5 l, 5
196,Aaron ordered for 18 boxes of sweets each weighing 1 kg250 g. Find the total weight of the sweets.,22.5 kg, 5
197,"If 9 cups of equal mass are made out of 1 kg 530 g ofsilver, what is the mass of each cup?",0.17 kg, 5
198,"If 24 metres of cloth is needed for 10 shirts, how muchcloth is needed for one shirt?.",2.4 m, 5
0,"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.#### 35", 6
1,"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shiftShe works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtimeOvertime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00Her overtime pay is 18+9 = $<<18+9=27.00>>27.00Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay2 hours of overtime pay for 5 days means she makes 54*5 = $270.00In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00#### 990", 6
2,"Tobias is buying a new pair of shoes that costs $95. He has been saving up his money each month for the past three months. He gets a $5 allowance a month. He also mows lawns and shovels driveways. He charges $15 to mow a lawn and $7 to shovel. After buying the shoes, he has $15 in change. If he mows 4 lawns, how many driveways did he shovel?",He saved up $110 total because 95 + 15 = <<95+15=110>>110He saved $15 from his allowance because 3 x 5 = <<3*5=15>>15He earned $60 mowing lawns because 4 x 15 = <<4*15=60>>60He earned $35 shoveling driveways because 110 - 60 - 15 = <<110-60-15=35>>35He shoveled 5 driveways because 35 / 7 = <<35/7=5>>5#### 5, 6
3,James creates a media empire.  He creates a movie for $2000.  Each DVD cost $6 to make.  He sells it for 2.5 times that much.  He sells 500 movies a day for 5 days a week.  How much profit does he make in 20 weeks?,"He sold each DVD for 6*2.5=$<<6*2.5=15>>15So he makes a profit of 15-6=$<<15-6=9>>9So each day he makes a profit of 9*500=$<<9*500=4500>>4500So he makes 4500*5=$<<4500*5=22500>>22,500He makes 22,500*20=$<<22500*20=450000>>450,000Then after the cost of creating the movie he has a profit of 450,000-2000=$<<450000-2000=448000>>448,000#### 448000", 6
4,"In a truck, there are 26 pink hard hats, 15 green hard hats, and 24 yellow hard hats.  If Carl takes away 4 pink hard hats, and John takes away 6 pink hard hats and twice as many green hard hats as the number of pink hard hats that he removed, then calculate the total number of hard hats that remained in the truck.","If there were 26 pink hard hats and Carl took away 4 pink hard hats, the number of pink hard hats that remained is 26-4 = <<26-4=22>>22John also took away 6 pink hard hats, leaving 22-6 = <<22-6=16>>16 pink hard hats in the truck.If John also took twice as many green hard hats as pink hard hats, he took 2*6 = <<6*2=12>>12 green hard hats.The total number of green hard hats that remained in the truck is 15-12 = <<15-12=3>>3In the truck, after some are taken, there were 3 green hard hats + 16 pink hard hats = <<3+16=19>>19 hard hats in the truck.Altogether, 19 green and pink hard hats + 24 yellow hards hats = <<19+24=43>>43 hard hats remained in the truck#### 43", 6
5,It takes Roque two hours to walk to work and one hour to ride his bike to work. Roque walks to and from work three times a week and rides his bike to and from work twice a week. How many hours in total does he take to get to and from work a week with walking and biking?,"Roque takes 2*3 = <<2*3=6>>6 hours a week to walk to work.Roque takes 6*2 = <<6*2=12>>12 hours a week to walk to and from work.Roque takes 1*2 = <<1*2=2>>2 hours a week to bike to work.Roque takes 2*2 = <<2*2=4>>4 hours a week to bike to and from work.In total, Roque takes 12+4 = <<12+4=16>>16 hour a week to go to and from work.#### 16", 6
